2021-04-20,12:10:57,0,Clem the Climate Policy Wonk,1618935059206,Hi! We will start soon.,GREET_AND_WAIT
2021-04-20,12:11:08,0,Clem the Climate Policy Wonk,1618935069257,Welcome! I'm Clem.,INTRODUCE
2021-04-20,12:11:08,0,Clem the Climate Policy Wonk,1618935074260,"Tell the team your name and share something about yourself, such as a hobby you have or a game you like to play. Ask questions about what the others share. Take a couple of minutes to learn more about each other.",INTRODUCE
2021-04-20,12:11:28,0,Chas,1618935089456,I'm Chastastic and I feel fantastic!,GIVING_NAME
2021-04-20,12:11:29,0,Clem the Climate Policy Wonk,1618935091305,"Hi, Chastastic.",GREET
2021-04-20,12:11:39,0,Chas,1618935099294,I love math!,POSITIVITY
2021-04-20,12:11:39,0,Clem the Climate Policy Wonk,1618935099327,"Okay, we're starting.",PROMPT_STEP_A1
2021-04-20,12:11:39,0,Clem the Climate Policy Wonk,1618935104334,"In this activity, your team will examine evidence of climate change in the form of graphs and experimental data. You will be asked to identify what the evidence tells you and what questions you still have. Then, you will read a local mayor’s opinion on fossil fuels and develop an argument in response.",PROMPT_STEP_A1
2021-04-20,12:11:39,0,Clem the Climate Policy Wonk,1618935117370,"Each of you will start out by specializing in one aspect of climate change: temperature change, carbon dioxide, or fossil fuels.",PROMPT_STEP_A2
2021-04-20,12:11:39,0,Clem the Climate Policy Wonk,1618935122374,"Decide among yourselves who will specialize in which aspect. If someone comes late, they'll get one of the remaining aspects. If you end up shorthanded, cover your own specialization and then work together on what remains.",PROMPT_STEP_A2
2021-04-20,12:11:39,0,Clem the Climate Policy Wonk,1618935127378,Go ahead and decide who gets which. I'll wait a bit.,PROMPT_STEP_A2
2021-04-20,12:12:25,0,Clem the Climate Policy Wonk,1618935146428,"Type ""ready"" when you have decided who will cover which specialization.",WAIT_FOR_CHECKIN
2021-04-20,12:12:48,0,Clem the Climate Policy Wonk,1618935168492,"Okay, let's get ready to move on.",TIMEOUT_WARNING
2021-04-20,12:12:55,0,Clem the Climate Policy Wonk,1618935176513,"Now it's time to research your specialization. Click on the ""Data"" tab at the left. You'll find a Google Sheet which itself has 3 tabs at the bottom, one for each specialization: Temperature Change, Carbon Dioxide, and Fossil Fuels. Find the Data tab for your specialization.",PROMPT_STEP_A3
2021-04-20,12:13:09,0,Clem the Climate Policy Wonk,1618935190563,"Type ""ready"" when you have found the data for your specialization.",WAIT_FOR_CHECKIN
2021-04-20,12:13:54,0,Clem the Climate Policy Wonk,1618935236730,We need to start wrapping up. Get ready to move on.,TIMEOUT_WARNING
2021-04-20,12:14:09,0,Clem the Climate Policy Wonk,1618935250779,"Now examine your data and record your thoughts by filling out the ""Notes"" tab that corresponds to your specialization on the left.",PROMPT_STEP_A4
2021-04-20,12:14:36,0,Clem the Climate Policy Wonk,1618935276868,"Take up to 10 minutes to examine the data and record your thoughts. Make sure your team covers all the specializations. If you finish early, share your thoughts with one another and see if you can come up with more ideas.",PROMPT_STEP_A5
2021-04-20,12:14:49,0,Clem the Climate Policy Wonk,1618935290918,"Type ""ready"" when you have finished researching and writing about your specialization.",WAIT_FOR_CHECKIN
2021-04-20,12:17:32,0,Clem the Climate Policy Wonk,1618935453472,...,RANDOM_SOCIAL+SOCIAL
2021-04-20,12:20:32,0,Clem the Climate Policy Wonk,1618935634006,Everything ok?,RANDOM_SOCIAL+SOCIAL
2021-04-20,12:22:20,0,Clem the Climate Policy Wonk,1618935742339,"Okay, let's get ready to move on.",TIMEOUT_WARNING
2021-04-20,12:24:50,0,Clem the Climate Policy Wonk,1618935892794,"Okay, it's time to move on to the next part of the activity. First, spend a few minutes reading and thinking about the letter from the mayor that you'll find in the ""Mayoral Letter"" tab at the left.",PROMPT_STEP_B1
2021-04-20,12:25:32,0,Clem the Climate Policy Wonk,1618935932926,"Type ""ready"" when you have finished examining the mayor's letter.",WAIT_FOR_CHECKIN
2021-04-20,12:26:33,0,Clem the Climate Policy Wonk,1618935995129,Everything ok?,RANDOM_SOCIAL+SOCIAL
2021-04-20,12:27:47,0,Clem the Climate Policy Wonk,1618936069391,"Okay, let's get ready to move on.",TIMEOUT_WARNING
2021-04-20,12:28:33,0,Clem the Climate Policy Wonk,1618936113526,"Before developing your response to Mayor Williams, summarize her perspective. What are the benefits of using fossil fuels? What evidence and reasoning does she use to support her decision? Discuss for a few minutes.",PROMPT_STEP_B2
2021-04-20,12:28:43,0,Clem the Climate Policy Wonk,1618936125576,"Type ""ready"" when you have finished summarizing and discussing the mayor's letter.",WAIT_FOR_CHECKIN
2021-04-20,12:30:58,0,Clem the Climate Policy Wonk,1618936260046,"Okay, let's get ready to move on.",TIMEOUT_WARNING
2021-04-20,12:31:43,0,Clem the Climate Policy Wonk,1618936304210,"Now, spend the rest of your time discussing and developing a response to the mayor. Make sure to support your ideas with evidence. Use the ""Joint Response"" tab at the left to develop your response.",PROMPT_STEP_B3
2021-04-20,12:31:43,0,Clem the Climate Policy Wonk,1618936309212,Each team member's typing in the Joint Response will be a different color! But work together to create a combined response.,PROMPT_STEP_B3
2021-04-20,12:41:02,0,Clem the Climate Policy Wonk,1618936863937,It is time for us to wrap up now. It has been a pleasure working with you. The activity is now over.,PROMPT_END
2021-04-20,12:41:02,0,Clem the Climate Policy Wonk,1618936868947,Have a nice day!,PROMPT_END
2021-04-20,12:41:36,0,Clem the Climate Policy Wonk,1618936898111,Everything ok?,RANDOM_SOCIAL+SOCIAL
