AUTHOR,TEXT,DATE,TIME
563CN7(jj),joins the room,19.01.2012,07.51.14
429CS1,joins the room,19.01.2012,08.08.47
419CS1,joins the room,19.01.2012,08.09.02
419CS1,hey guys : ),19.01.2012,08.09.12
TUTOR,joins the room,19.01.2012,08.09.18
TUTOR,"Hi, my name is Sage. I'll be working with you in this activity. Take a minute to introduce yourselves.",19.01.2012,08.09.25
429CS1,holaa<3,19.01.2012,08.09.36
563CN7(jj),leaves the room,19.01.2012,08.09.51
TUTOR,"I won't tell you if you're right or wrong, but I'll give feedback as you discuss things as a team.",19.01.2012,08.10.10
TUTOR,Let's look at a setup which is the opposite of the one we saw earlier - the iodine is now inside and the starch is outside.,19.01.2012,08.10.26
426CS1,joins the room,19.01.2012,08.10.46
TUTOR,"<< On the whiteboard, you can see a picture of this new setup.",19.01.2012,08.10.53
429CS1,ohh candacee <3,19.01.2012,08.11.02
TUTOR,<< Here's what happened in this setup over time.,19.01.2012,08.11.05
419CS1,iM lost someone help lOl,19.01.2012,08.11.07
426CS1,hey!,19.01.2012,08.11.09
429CS1,me too lmao,19.01.2012,08.11.17
419CS1,ctfu,19.01.2012,08.11.26
426CS1,same her,19.01.2012,08.11.27
TUTOR,Notice how the inside and outside environments changed. Why did these changes happen?,19.01.2012,08.11.27
419CS1,no iDont notice,19.01.2012,08.11.37
429CS1,ohhhh i knoww!,19.01.2012,08.11.39
426CS1,i spelled her instead of here,19.01.2012,08.11.40
429CS1,oh lmfao i see what happened ! #winning,19.01.2012,08.12.10
426CS1,lol what are we supposed to do?,19.01.2012,08.12.28
TUTOR,Great! Can someone respond to 426CS1?,19.01.2012,08.12.32
419CS1,respond to MarcusJ too!,19.01.2012,08.12.59
429CS1,i dont know ! helpp me lmaoo? is this sage person a real person?!,19.01.2012,08.13.02
419CS1,lOl,19.01.2012,08.13.03
TUTOR,Great! Can someone respond to 429CS1?,19.01.2012,08.13.05
TUTOR,Things seem to be going well...,19.01.2012,08.13.10
419CS1,no iTs not ms.sage,19.01.2012,08.13.23
426CS1,yes sage is a real person hes the man at the desk,19.01.2012,08.13.33
429CS1,anyone know what to do? lmao(=,19.01.2012,08.13.51
419CS1,iDone understand this iM lost,19.01.2012,08.13.57
426CS1,no,19.01.2012,08.13.59
419CS1,iS it reversed?,19.01.2012,08.14.10
426CS1,i dont know,19.01.2012,08.14.19
429CS1,this is wierd,19.01.2012,08.14.29
429CS1,i just copied jordan and she said it absorbed the iodine,19.01.2012,08.14.55
