AUTHOR,TEXT,DATE,TIME
TUTOR,joins the room,19.01.2012,12.41.58
459CS7,joins the room,19.01.2012,12.42.06
408CS7,joins the room,19.01.2012,12.42.37
470CS7,joins the room,19.01.2012,12.42.44
TUTOR,"Hi, my name is Sage. I'll be working with you in this activity. Take a minute to introduce yourselves.",19.01.2012,12.42.50
470CS7,yuo will all die,19.01.2012,12.43.33
TUTOR,"I won't tell you if you're right or wrong, but I'll give feedback as you discuss things as a team.",19.01.2012,12.43.35
470CS7,ok,19.01.2012,12.43.49
TUTOR,Let's look at a setup which is the opposite of the one we saw earlier - the iodine is now inside and the starch is outside.,19.01.2012,12.43.50
470CS7,but no,19.01.2012,12.43.58
408CS7,sup guys,19.01.2012,12.44.00
470CS7,waddup,19.01.2012,12.44.06
408CS7,ur dumb,19.01.2012,12.44.14
459CS7,hi,19.01.2012,12.44.14
TUTOR,"<< On the whiteboard, you can see a picture of this new setup.",19.01.2012,12.44.17
470CS7,yuor retarded,19.01.2012,12.44.21
470CS7,sup ricky,19.01.2012,12.44.25
408CS7,sup,19.01.2012,12.44.28
TUTOR,<< Here's what happened in this setup over time.,19.01.2012,12.44.30
470CS7,idont get this,19.01.2012,12.44.50
TUTOR,Notice how the inside and outside environments changed. Why did these changes happen?,19.01.2012,12.44.52
459CS7,screw u charles,19.01.2012,12.45.19
470CS7,this is weird,19.01.2012,12.45.21
TUTOR,"We are all teammates, let's work together.",19.01.2012,12.45.25
470CS7,burn in hell ricjy,19.01.2012,12.45.29
408CS7,charles n sydnety,19.01.2012,12.45.32
470CS7,ya i know thanks dustin and alexis,19.01.2012,12.45.47
408CS7,yea ur welcome,19.01.2012,12.45.59
459CS7,,19.01.2012,12.46.07
470CS7,nice job and that btw,19.01.2012,12.46.18
408CS7,yea wigga,19.01.2012,12.46.29
470CS7,bro i aint black hahaha,19.01.2012,12.46.40
408CS7,naw ur white as life,19.01.2012,12.46.54
470CS7,exactly im like casper,19.01.2012,12.47.06
408CS7,o ok,19.01.2012,12.47.16
459CS7,they happen because ther is starch,19.01.2012,12.47.24
470CS7,ricky shut up,19.01.2012,12.47.44
470CS7,bro dustin you got that white boy swag,19.01.2012,12.47.55
408CS7,naw u shutup charles with a skidd mark hair line,19.01.2012,12.48.06
459CS7,hahahahahahahaha,19.01.2012,12.48.17
408CS7,hahaha yea,19.01.2012,12.48.24
TUTOR,"Okay, team - in a moment we'll move to another set of experiments.",19.01.2012,12.48.25
470CS7,aaaawwww screw you,19.01.2012,12.48.30
408CS7,yea bro,19.01.2012,12.48.37
470CS7,stfu dustin you look like justin beiber,19.01.2012,12.48.41
TUTOR,"For these experiments, we'll use the same membrane, but with pure water on the outside and a glucose solution on the inside.",19.01.2012,12.48.49
459CS7,dustian pay attention to sage,19.01.2012,12.49.05
408CS7,ok u look like gollum for lord of the rings,19.01.2012,12.49.06
TUTOR,Discuss the differences between glucose and starch molecules.,19.01.2012,12.49.19
470CS7,hahahahahahaha screw you,19.01.2012,12.49.28
408CS7,yea my precious,19.01.2012,12.49.37
459CS7,hahahahahah,19.01.2012,12.49.47
470CS7,ok guys we gotta discuss the difference between glucose and starch,19.01.2012,12.49.58
408CS7,mhmm,19.01.2012,12.50.02
459CS7,ye4a,19.01.2012,12.50.06
470CS7,hey stfu dustin do the work,19.01.2012,12.50.09
TUTOR,We'll use the tube weight as an indicator for water movement.,19.01.2012,12.50.12
408CS7,naw charles im cutting up,19.01.2012,12.50.15
TUTOR,We'll also use *glucose test strips* to detect glucose in both environments.,19.01.2012,12.50.16
TUTOR,"<< On the whiteboard, you can see what happened in this setup over time.",19.01.2012,12.50.30
470CS7,haha ight then me and ricky got this,19.01.2012,12.50.33
408CS7,k,19.01.2012,12.50.40
470CS7,rick lets get it bro go nerd style,19.01.2012,12.50.49
TUTOR,"The results with glucose are different than what you saw with starch - as a team, discuss and agree upon an explanation for these results.",19.01.2012,12.50.54
470CS7,i think the more glucose the thing has the more it will weigh,19.01.2012,12.51.31
408CS7,smd charles,19.01.2012,12.51.45
