AUTHOR,TEXT,DATE,TIME
423CS1,joins the room,19.01.2012,08.08.34
409CS1,joins the room,19.01.2012,08.08.51
413CS1,joins the room,19.01.2012,08.09.12
TUTOR,joins the room,19.01.2012,08.09.16
TUTOR,"Hi, my name is Sage. I'll be working with you in this activity. Take a minute to introduce yourselves.",19.01.2012,08.09.23
TUTOR,"I won't tell you if you're right or wrong, but I'll give feedback as you discuss things as a team.",19.01.2012,08.10.07
TUTOR,Let's look at a setup which is the opposite of the one we saw earlier - the iodine is now inside and the starch is outside.,19.01.2012,08.10.23
409CS1,ok,19.01.2012,08.10.49
TUTOR,"<< On the whiteboard, you can see a picture of this new setup.",19.01.2012,08.10.50
423CS1,,19.01.2012,08.10.52
TUTOR,<< Here's what happened in this setup over time.,19.01.2012,08.11.03
409CS1,ok,19.01.2012,08.11.19
TUTOR,Notice how the inside and outside environments changed. Why did these changes happen?,19.01.2012,08.11.25
413CS1,yep,19.01.2012,08.11.31
423CS1,sure,19.01.2012,08.11.38
409CS1,the water suck out the iodine,19.01.2012,08.12.05
423CS1,no wayy,19.01.2012,08.12.24
409CS1,wazzz up,19.01.2012,08.12.34
413CS1,surrre,19.01.2012,08.12.52
TUTOR,can you say more about the water and the iodine?,19.01.2012,08.13.00
409CS1,the iodione and water have changed the colot of the sarch and water,19.01.2012,08.13.45
423CS1,goodjob jacob,19.01.2012,08.14.00
423CS1,lolololol,19.01.2012,08.14.04
409CS1,wateves lol,19.01.2012,08.14.12
413CS1,u spelled starch wrong,19.01.2012,08.14.46
413CS1,,19.01.2012,08.14.53
413CS1,,19.01.2012,08.14.54
TUTOR,"Okay, team - in a moment we'll move to another set of experiments.",19.01.2012,08.14.58
409CS1,ok,19.01.2012,08.15.10
TUTOR,"For these experiments, we'll use the same membrane, but with pure water on the outside and a glucose solution on the inside.",19.01.2012,08.15.21
409CS1,no problem,19.01.2012,08.15.37
TUTOR,Discuss the differences between glucose and starch molecules.,19.01.2012,08.15.52
423CS1,it weighes lesss,19.01.2012,08.16.04
TUTOR,does everyone agree with 423CS1?,19.01.2012,08.16.27
413CS1,ya and doesn't change colors,19.01.2012,08.16.44
TUTOR,We'll use the tube weight as an indicator for water movement.,19.01.2012,08.16.44
TUTOR,We'll also use *glucose test strips* to detect glucose in both environments.,19.01.2012,08.16.48
409CS1,the glucose changes to green while the starch changes to purple and no i dont agree with 423CS1,19.01.2012,08.16.53
TUTOR,"<< On the whiteboard, you can see what happened in this setup over time.",19.01.2012,08.17.02
TUTOR,"The results with glucose are different than what you saw with starch - as a team, discuss and agree upon an explanation for these results.",19.01.2012,08.17.27
409CS1,it weighed more in yo face hahahaha,19.01.2012,08.17.28
413CS1,it got heavier,19.01.2012,08.17.30
423CS1,well i know that nowwww,19.01.2012,08.17.42
TUTOR,can anyone add on to what Jacob said?,19.01.2012,08.17.42
409CS1,hahahaahahahaha i win now will someone help me,19.01.2012,08.18.18
423CS1,as the glucose strip sat in the water it asborbed more glucose and got heavier,19.01.2012,08.18.25
409CS1,yes that makes alot of sense,19.01.2012,08.18.39
423CS1,it doesssssssssssssssss,19.01.2012,08.18.47
409CS1,yes very much so lol,19.01.2012,08.19.02
413CS1,or did it asorb more water and got heavier...,19.01.2012,08.19.10
TUTOR,good job guys,19.01.2012,08.19.17
423CS1,go awayy jacob,19.01.2012,08.19.20
409CS1,forget u,19.01.2012,08.19.34
423CS1,hahahaha,19.01.2012,08.19.51
